"","Q35"
"33","que la protagonista no duerma que este despierta sonriendo igual que los demás                                                                                                                                                                                "
"34","nada                                                                                                                                                                                                                                                           "
"35","nada todo de la campaña me fascino                                                                                                                                                                                                                            "
"36","las personas alrededor mirandola mientras duerme con la boca abierta                                                                                                                                                                                           "
"37","Nada todo está bn                                                                                                                                                                                                                                             "
"38","Nada                                                                                                                                                                                                                                                           "
"39","Nada                                                                                                                                                                                                                                                           "
"40","Nada, para mí todo está bien.                                                                                                                                                                                                                                "
"41","me parece que todo está bien                                                                                                                                                                                                                                  "
"42","nada                                                                                                                                                                                                                                                           "
"43","Nada                                                                                                                                                                                                                                                           "
"44","Nada                                                                                                                                                                                                                                                           "
"45","la actividad que realiza la mujer                                                                                                                                                                                                                              "
"46","esta tofo bien                                                                                                                                                                                                                                                 "
"47","aprezca  mas real                                                                                                                                                                                                                                              "
"48","Nada                                                                                                                                                                                                                                                           "
"49","Nada es buena                                                                                                                                                                                                                                                  "
"50","Nada                                                                                                                                                                                                                                                           "
"51","no la cambiaria                                                                                                                                                                                                                                                "
"52","Nada                                                                                                                                                                                                                                                           "
"53","Quizás que no ronque como lo manifestaron solo dormir con la boca abierta                                                                                                                                                                                     "
"54","Nada                                                                                                                                                                                                                                                           "
"55","tener mas información sobre el producto                                                                                                                                                                                                                       "
"56","La persona durmiendo, me parece que ninguna persona se ve bien durmiendo con la boca abierta por mas que se cepille                                                                                                                                            "
"57","No tan sobreactuada                                                                                                                                                                                                                                            "
"58","Nada en absoluto                                                                                                                                                                                                                                               "
"59","EL PERSONAJE, POR UNO REAL                                                                                                                                                                                                                                     "
"60","Nada                                                                                                                                                                                                                                                           "
"61","Nada es un buen comercial                                                                                                                                                                                                                                      "
"62","Colocaría más de una situación cotidiana al comercial                                                                                                                                                                                                       "
"63","Nada me pacere q está bien                                                                                                                                                                                                                                    "
"64","Nada                                                                                                                                                                                                                                                           "
"65","LA ESCENOGRAFIA DEL BUS                                                                                                                                                                                                                                        "
"66","Solo explicaria mas la situacion del bus                                                                                                                                                                                                                       "
"67","Nada                                                                                                                                                                                                                                                           "
"68","La calidad                                                                                                                                                                                                                                                     "
"69","Pasa muy rápido de escenas                                                                                                                                                                                                                                    "
"70","No pondría a roncar a la mujer                                                                                                                                                                                                                                "
"71","La música                                                                                                                                                                                                                                                     "
"72","Tal vez agregaria otro personaje                                                                                                                                                                                                                               "
"73","la historia aunque real se ve forzada, podria ser otro tipo de escenario tipico                                                                                                                                                                                "
"74","Nada                                                                                                                                                                                                                                                           "
"75","la gente burlandose                                                                                                                                                                                                                                            "
"76","No cambiaría nada                                                                                                                                                                                                                                             "
"77","mayor claridad en el enfoque sobre lo que quiere transmitir la situacion                                                                                                                                                                                       "
"78","nada la dejara tal como esta                                                                                                                                                                                                                                   "
"79","Como mostrar los dientes de la muchacha, los resultados del uso de la crema                                                                                                                                                                                    "
"80","Que la historia en el autobús sea más explicita                                                                                                                                                                                                              "
"81","la modelo                                                                                                                                                                                                                                                      "
"82","nada todo me gusta                                                                                                                                                                                                                                             "
"83","Todo                                                                                                                                                                                                                                                           "
"84","Diria que las imagenes y musica pero aun le falta trabajo, de resto me gusta                                                                                                                                                                                   "
"85","Nada                                                                                                                                                                                                                                                           "
"86","nada                                                                                                                                                                                                                                                           "
"87","Nada, todo es bastante claro                                                                                                                                                                                                                                   "
"88","Esta clara y me gustó no le cambio nada                                                                                                                                                                                                                       "
"89","Nada está muy buena                                                                                                                                                                                                                                           "
"90","quizá que mientras ella duerme los otros se sonríen                                                                                                                                                                                                          "
"91","todo esta genial                                                                                                                                                                                                                                               "
"92","NADA                                                                                                                                                                                                                                                           "
"93","Nada                                                                                                                                                                                                                                                           "
"94","Nada                                                                                                                                                                                                                                                           "
"95","Que sus. Empaques ayuden mas al medio ambiente                                                                                                                                                                                                                 "
"96","Nada                                                                                                                                                                                                                                                           "
"97","NADA                                                                                                                                                                                                                                                           "
"98","En realidad el tiempo                                                                                                                                                                                                                                          "
"99","Nada                                                                                                                                                                                                                                                           "
"100","Nada, me gusta todo el concepto                                                                                                                                                                                                                                "
"101","Creo que está bien es aceptable                                                                                                                                                                                                                               "
"102","Nada                                                                                                                                                                                                                                                           "
"103","mostraría mas los beneficios                                                                                                                                                                                                                                  "
"104","Nada                                                                                                                                                                                                                                                           "
"105","Pondria musica breve de fondo ya que le daria mas interes a la cancion                                                                                                                                                                                         "
"106","Una musica y entorno mas llamativo e interesante                                                                                                                                                                                                               "
"107","de pronto la dínamica de los personajes                                                                                                                                                                                                                       "
"108","no nada                                                                                                                                                                                                                                                        "
"109","Sería correcto que mostraran el desempeño de Fluocardent en comparación con otras marcas de cremas dentales                                                                                                                                                 "
"110","nada                                                                                                                                                                                                                                                           "
"111","Mas personas en el video durmiendo                                                                                                                                                                                                                             "
"112","nada                                                                                                                                                                                                                                                           "
"113","podrian contar nuevas historias relacionadas con el uso de fluocardent en situaciones cotidianas                                                                                                                                                               "
"114","Nada                                                                                                                                                                                                                                                           "
"115","nada                                                                                                                                                                                                                                                           "
"116","nada                                                                                                                                                                                                                                                           "
"117","La.musica                                                                                                                                                                                                                                                      "
"118","no nada, esta genial.                                                                                                                                                                                                                                          "
"119","Nada                                                                                                                                                                                                                                                           "
"120","es muy saludable                                                                                                                                                                                                                                               "
"121","Ninguno                                                                                                                                                                                                                                                        "
"122","Nada , todo me parece bien                                                                                                                                                                                                                                     "
"123","nada                                                                                                                                                                                                                                                           "
"124","Está bien                                                                                                                                                                                                                                                     "
"125","Aportar mas imagenes y situaciones                                                                                                                                                                                                                             "
"126","Nada                                                                                                                                                                                                                                                           "
"127","Nada                                                                                                                                                                                                                                                           "
"128","detalle                                                                                                                                                                                                                                                        "
"129","Nada, me parece que en general esta muy bien y el mensaje que nos trasmite es claro                                                                                                                                                                            "
"130","no le cambiaria nada porque tiene informacion muy relevante                                                                                                                                                                                                    "
"131","Que tambien este un niño observado como son los buenos habitos bucales                                                                                                                                                                                        "
"132","la relación del mensaje del bus con los mensajes teóricos                                                                                                                                                                                                    "
"133","El bus más realista, la acomodación de la gente no corresponde del todo a como es en la realidad                                                                                                                                                             "
"134","una mejor idea audiovisual, los mensajes están chéveres, pero el personaje, y lo que pasa, no genera nada                                                                                                                                                    "
"135","ME PARECE QUE ESTA CLARA Y CONSISA NO LE CAMBIARIA NADA                                                                                                                                                                                                        "
"136","nada la dejaria tal cual                                                                                                                                                                                                                                       "
"137","me parece bastante buena tal como esta                                                                                                                                                                                                                         "
"138","creeria que esta perfecta                                                                                                                                                                                                                                      "
"139","Que sea mas claro que la señora se bajo feliz del bus, con una sonrisa, no solo verla a ella cepillandose los dientes                                                                                                                                         "
"140","Nada                                                                                                                                                                                                                                                           "
"141","Nada                                                                                                                                                                                                                                                           "
"142","No cambiaría nada todo está perfecto                                                                                                                                                                                                                         "
"143","nada                                                                                                                                                                                                                                                           "
"144","Nada                                                                                                                                                                                                                                                           "
"145","Nada                                                                                                                                                                                                                                                           "
"146","Nada                                                                                                                                                                                                                                                           "
"147","Nada                                                                                                                                                                                                                                                           "
"148","Nada                                                                                                                                                                                                                                                           "
"149","no la cambiara me gusta asi como la diseñaron                                                                                                                                                                                                                 "
"150","LA ACTRIZ                                                                                                                                                                                                                                                      "
"151","no cambiaria nada                                                                                                                                                                                                                                              "
"152","Nada                                                                                                                                                                                                                                                           "
"153","Los colores                                                                                                                                                                                                                                                    "
"154","la chica no se combincente                                                                                                                                                                                                                                     "
"155","Nada                                                                                                                                                                                                                                                           "
"156","NADA LA CREMA ES BUENA SE COMPRA MUCHO                                                                                                                                                                                                                         "
"157","No hay nada que me disguste                                                                                                                                                                                                                                    "
"158","Nada                                                                                                                                                                                                                                                           "
"159","No nada hasta ahora                                                                                                                                                                                                                                            "
"160","No cambiaria nada                                                                                                                                                                                                                                              "
"161","nada                                                                                                                                                                                                                                                           "
"162","La frase del inicio de que la boca no solo es para sonreír                                                                                                                                                                                                    "
"163","La forma de hacer comerciales                                                                                                                                                                                                                                  "
"164","Nada                                                                                                                                                                                                                                                           "
"165","Está todo bien.                                                                                                                                                                                                                                               "
"166","Nada, todo estuvo muy bien hecho                                                                                                                                                                                                                               "
"167","la ilustracion                                                                                                                                                                                                                                                 "
"168","Nada                                                                                                                                                                                                                                                           "
"169","Nada                                                                                                                                                                                                                                                           "
"170","cabiar no nada                                                                                                                                                                                                                                                 "
"171","Nada, así está bien                                                                                                                                                                                                                                          "
"172","las personas del bus sonrriendo por nada; que la protagonista se vea mas natural y menos ""producida"" para la situación que se supone esta viviendo                                                                                                            "
"173","Incluiría un poco más de información sobre los beneficios.                                                                                                                                                                                                  "
"174","Nada                                                                                                                                                                                                                                                           "
"175","Ninguna cosa.                                                                                                                                                                                                                                                  "
"176","el inicio no tiene nada que ver la burla de las personas viendo a la persona conla boca abierta con la crema dental, no me queda claro si el enfoque es el alinto o que puede ser ? cambiaria eso en algo de verdad cotidiano como no invertir en chicle despue"
"177","La parte donde aparece la muchacha durmiendo con la boca abierta                                                                                                                                                                                               "
"178","No cambiaria nada está muy bien elaborada                                                                                                                                                                                                                     "
"179","Nada                                                                                                                                                                                                                                                           "
"180","Nada                                                                                                                                                                                                                                                           "
"181","En este momento nada , me parece que es una campaña muy completa                                                                                                                                                                                              "
"182","La verdad nada                                                                                                                                                                                                                                                 "
"183","Nada                                                                                                                                                                                                                                                           "
"184","Nada                                                                                                                                                                                                                                                           "
"185","Nada                                                                                                                                                                                                                                                           "
"186","el logo inicial ""la boca es mas que para sonreir""                                                                                                                                                                                                              "
"187","como se los he comentado durante toda la encuesta son pocas las cosas que cambiaria pero si se debe o se puede hacer mas realista y mejorar su contexto que se mas claro                                                                                       "
"188","la imagen inicial                                                                                                                                                                                                                                              "
"189","nada                                                                                                                                                                                                                                                           "
"190","Que la muchacha tiene la boca abierta cuando duerme                                                                                                                                                                                                            "
"191","Que si hay algo novedoso en el producto sea más especifico el qué y el beneficio                                                                                                                                                                             "
"192","nada, muy buena.                                                                                                                                                                                                                                               "
"193","Nada                                                                                                                                                                                                                                                           "
"194","nada                                                                                                                                                                                                                                                           "
"195","USARIA OTRA SITUACION COTIDIANA, RONCAR EN UN BUS NO ME PARECE QUE SE VEA AGRADABLE                                                                                                                                                                            "
"196","Todo, comenzando por la situación del bus, lo que menos le preocupa a una persona es si los dientes se ven bien cuando te quedas dormido en un bus y todo te miran                                                                                            "
"197","Que sea una campaña mas emocional, se nota que el personaje principal no es real y no expresa las emociones del producto                                                                                                                                      "
"198","No cambiaria nada                                                                                                                                                                                                                                              "
"199","Nada                                                                                                                                                                                                                                                           "
"200","Nada                                                                                                                                                                                                                                                           "
"201","nada                                                                                                                                                                                                                                                           "
"202","Nada me pareció clara y directa                                                                                                                                                                                                                               "
"203","nada                                                                                                                                                                                                                                                           "
"204","la manera de impulsar la marca                                                                                                                                                                                                                                 "
"205","Me agrada                                                                                                                                                                                                                                                      "
"206","Nada cambiará                                                                                                                                                                                                                                                 "
"207","Esta muy clara                                                                                                                                                                                                                                                 "
"208","Nada                                                                                                                                                                                                                                                           "
"209","nad a                                                                                                                                                                                                                                                          "
"210","No le cambiaría nada                                                                                                                                                                                                                                          "
"211","que fuera mas realista                                                                                                                                                                                                                                         "
"212","Nada, asi esta bien                                                                                                                                                                                                                                            "
"213","Nada, me parece bien como esta                                                                                                                                                                                                                                 "
"214","Nada                                                                                                                                                                                                                                                           "
"215","Está todo perfecto                                                                                                                                                                                                                                            "
"216","DEPRONTO VER OTRA SITUACION DEL USO DE LA BOCA                                                                                                                                                                                                                 "
"217","EL ENTORNO DONDE SE EJECUTO                                                                                                                                                                                                                                    "
"218","El contexto                                                                                                                                                                                                                                                    "
"219","el contexto no es clara la burla en un bus de alguien durmiendo con la boca abierta                                                                                                                                                                            "
"220","Nada                                                                                                                                                                                                                                                           "
"221","Nada en realidad                                                                                                                                                                                                                                               "
"222","Nada                                                                                                                                                                                                                                                           "
"223","muy bien                                                                                                                                                                                                                                                       "
"224","El lugar de la grabación                                                                                                                                                                                                                                      "
"225","Nada                                                                                                                                                                                                                                                           "
"226","Nada                                                                                                                                                                                                                                                           "
"227","Al ser realizada con IA, hay cosas que se podrían mejorar a la hora de presentar el video, no es necesario presentar muchas personas al rededor de la protagonista, con una o dos, habría sido suficiente para entender el mensaje                           "
"228","Nada                                                                                                                                                                                                                                                           "
"229","Nada                                                                                                                                                                                                                                                           "
"230","Nada                                                                                                                                                                                                                                                           "
"231","Nada                                                                                                                                                                                                                                                           "
"232","darle un hilo de continuidad mas claro en relacion a la imagen en el bus                                                                                                                                                                                       "
"233","Nada                                                                                                                                                                                                                                                           "
"234","Nada                                                                                                                                                                                                                                                           "
"235","todo me parece elegante                                                                                                                                                                                                                                        "
"236","Todo esta muy bien                                                                                                                                                                                                                                             "
"237","NINGUNO                                                                                                                                                                                                                                                        "
"238","nada                                                                                                                                                                                                                                                           "
"239","esta perfecta                                                                                                                                                                                                                                                  "
"240","LAS IMAGENES                                                                                                                                                                                                                                                   "
"241","creo que al principio la cara de la chica se ve como finjida                                                                                                                                                                                                   "
"242","nada                                                                                                                                                                                                                                                           "
"243","todo esta bien                                                                                                                                                                                                                                                 "
"244","La transición de la mujer durmiendo a la mujer cepillandose, ya que no tiene conexión.                                                                                                                                                                       "
"245","La frase puede prestarse para malos entendidos                                                                                                                                                                                                                 "
"246","Un mayor enfasis en la limpieza bucal                                                                                                                                                                                                                          "
"247","todo esta muy bueno                                                                                                                                                                                                                                            "
"248","no me gusta la sonrisa creada por IA de la chica, se ve bastante falsa de hecho                                                                                                                                                                                "
"249","Nada todo perfecto                                                                                                                                                                                                                                             "
"250","la mujer roncando.definitivo                                                                                                                                                                                                                                   "
"251","Darla a conocer mas en campaña                                                                                                                                                                                                                                "
"252","nada                                                                                                                                                                                                                                                           "
"253","NADA                                                                                                                                                                                                                                                           "
"254","El precio                                                                                                                                                                                                                                                      "
"255","Nada                                                                                                                                                                                                                                                           "
"256","La propaganda                                                                                                                                                                                                                                                  "
"257","nada                                                                                                                                                                                                                                                           "
"258","Nada                                                                                                                                                                                                                                                           "
"259","La parte donde esta durmiendo en un bus                                                                                                                                                                                                                        "
"260","Hacerla con gente eresl                                                                                                                                                                                                                                        "
"261","Creo que es un evento cotidiano pero se me hace tan raro la relación con una crema dental... Es curiosa la forma es todo, quizás si los demás hablaran o comentaran algo de sus dientes sería más claro                                                   "
"262","nada                                                                                                                                                                                                                                                           "
"263","nada                                                                                                                                                                                                                                                           "
"264","DESCRIPCION DE COMPONENTES                                                                                                                                                                                                                                     "
"265","La situacion no fuera en un bus                                                                                                                                                                                                                                "
"266","Nada me gusta                                                                                                                                                                                                                                                  "
"267","Nada es agractiva                                                                                                                                                                                                                                              "
"268","la parte donde esta durmiendo                                                                                                                                                                                                                                  "
"269","nada                                                                                                                                                                                                                                                           "
"270","Nada                                                                                                                                                                                                                                                           "
"271","Los personajes no son muy creíbles                                                                                                                                                                                                                            "
"272","no se las imagenes de las personas parecen como falsas parecen hechas con AI                                                                                                                                                                                   "
"273","nada todo esta muy bien                                                                                                                                                                                                                                        "
"274","nada                                                                                                                                                                                                                                                           "
"275","Nada                                                                                                                                                                                                                                                           "
"276","Nada                                                                                                                                                                                                                                                           "
"277","nada                                                                                                                                                                                                                                                           "
"278","muy bn                                                                                                                                                                                                                                                         "
"279","Algo diferente, mas atrevido....sii lo que quieren es despertar la curiosidad y el interés, introduzcan ""desde el respeto"", pero con contundencia, un contenido que indique que vas a poder bbesar siempre a la más linda, o que durante el beso y el momento"
"280","Nada                                                                                                                                                                                                                                                           "
"281","la chica                                                                                                                                                                                                                                                       "
"282","por el momento nada, esta perfecta                                                                                                                                                                                                                             "
"283","nada                                                                                                                                                                                                                                                           "
"284","Nada                                                                                                                                                                                                                                                           "
"285","Nada                                                                                                                                                                                                                                                           "
"286","nada                                                                                                                                                                                                                                                           "
"287","pondria planos de las personas en el bus disfrutando del aroma que emana de la boca del personaje principal y pondria graficos  de frescura que salen y se dispersan por todo el ambiente                                                                      "
"288","Asta Ahora Todo bien                                                                                                                                                                                                                                           "
"289","La gente del fondo                                                                                                                                                                                                                                             "
"290","Nada                                                                                                                                                                                                                                                           "
"291","ESTA MUY COOL, ACERCA AL PRODUCTO                                                                                                                                                                                                                              "
"292","nada                                                                                                                                                                                                                                                           "
"293","nada                                                                                                                                                                                                                                                           "
"294","Nada                                                                                                                                                                                                                                                           "
"295","Mejorar los videos donde aparezcan los usuarios hablando bien sobre los productos                                                                                                                                                                              "
"296","Que colocaron más casos de la vida cotidiana, en general me gustó es algo q sucede a diario en los transportes                                                                                                                                               "
"297","Nada                                                                                                                                                                                                                                                           "
"298","Que no todas las personas en el bus estén solo pendientes de la chica                                                                                                                                                                                         "
"299","es adecuado todo el material                                                                                                                                                                                                                                   "
"300","nada                                                                                                                                                                                                                                                           "
"301","El evento en el que se desenvuelve                                                                                                                                                                                                                             "
"302","Todo estas bien                                                                                                                                                                                                                                                "
"303","Nada                                                                                                                                                                                                                                                           "
"304","No cambiaría nada                                                                                                                                                                                                                                             "
"305","NADA , APENAS ES                                                                                                                                                                                                                                               "
"306","nada                                                                                                                                                                                                                                                           "
"307","No esta muy buena                                                                                                                                                                                                                                              "
"308","Siento que la situación del bus es muy poco clara, tengo ansiedad y si roncara en el bus no estaría estresada por qué se vieran mis dientes, sino por llamar la atención e incomodar a los demás, así que lla la historia no me convence nada            "
"309","nada en particular                                                                                                                                                                                                                                             "
"310","Que debe ser mucho más realista                                                                                                                                                                                                                               "
"311","Nada                                                                                                                                                                                                                                                           "
"312","La actriz durmiendo boquiabieta                                                                                                                                                                                                                                "
"313","Los actores                                                                                                                                                                                                                                                    "
"314","La sonrisa de la modelo no es muy expresiva                                                                                                                                                                                                                    "
"315","daría contexto sobre la escena inicial                                                                                                                                                                                                                        "
"316","Nada, me parece genial, su mensaje es claro.                                                                                                                                                                                                                   "
"317","focalizada para desmanchar dientes                                                                                                                                                                                                                             "
"318","nada                                                                                                                                                                                                                                                           "
"319","no cambiaria nada                                                                                                                                                                                                                                              "
"320","nada cambiaria                                                                                                                                                                                                                                                 "
"321","que fuera mas natural y que el personaje principal afrontara la situación con una sonrisa                                                                                                                                                                     "
"322","la inteligencia artificila se nota demasiado o la hace ver de mala calidad                                                                                                                                                                                     "
"323","nada asi esta bien                                                                                                                                                                                                                                             "
"324","Nada                                                                                                                                                                                                                                                           "
"325","Nada, la dejaría tal cual esta                                                                                                                                                                                                                                "
"326","Es un buen comercial.                                                                                                                                                                                                                                          "
"327","No cambiaría nda                                                                                                                                                                                                                                              "
"328","Todo está bien                                                                                                                                                                                                                                                "
"329","nada                                                                                                                                                                                                                                                           "
"330","nada. esta muy buena                                                                                                                                                                                                                                           "
"331","me gustaria ver mas sonrisas                                                                                                                                                                                                                                   "
"332","la idea en general, noi es muy claro, colocaria otra situación                                                                                                                                                                                                "
"333","Nada                                                                                                                                                                                                                                                           "
"334","depronto que todas las personas esten pendiente de la señora, lo hace ver muy irreal.                                                                                                                                                                         "
"335","Creo que no cambiaría nada                                                                                                                                                                                                                                    "
"336","La expresión de la mujer                                                                                                                                                                                                                                      "
"337","Nada                                                                                                                                                                                                                                                           "
"338","Todo claro                                                                                                                                                                                                                                                     "
"339","Siento que le falta un plus                                                                                                                                                                                                                                    "
"340","Nada                                                                                                                                                                                                                                                           "
"341","nada expectacular                                                                                                                                                                                                                                              "
"342","Nada                                                                                                                                                                                                                                                           "
"343","Nada                                                                                                                                                                                                                                                           "
"344","Nada                                                                                                                                                                                                                                                           "
"345","todo esta perfecto y claro                                                                                                                                                                                                                                     "
"346","Nada                                                                                                                                                                                                                                                           "
"347","Me parece que así está bien                                                                                                                                                                                                                                  "
"348","NADA                                                                                                                                                                                                                                                           "
"349","Muy sencillo. El inicio                                                                                                                                                                                                                                        "
"350","Nada                                                                                                                                                                                                                                                           "
"351","Nada                                                                                                                                                                                                                                                           "
"352","No nada                                                                                                                                                                                                                                                        "
"353","todo me parece bueno                                                                                                                                                                                                                                           "
"354","Nada                                                                                                                                                                                                                                                           "
"355","no                                                                                                                                                                                                                                                             "
"356","Nada                                                                                                                                                                                                                                                           "
"357","Nada                                                                                                                                                                                                                                                           "
"358","Nada                                                                                                                                                                                                                                                           "
"359","Que no se vea tan ficticia las bocas de los personajes                                                                                                                                                                                                         "
"360","Nada, todo está excelente                                                                                                                                                                                                                                     "
"361","La reacción de las otras personas en el bus                                                                                                                                                                                                                   "
"362","Nada                                                                                                                                                                                                                                                           "
"363","Las personas del bus , nadie se fija en el olor bucal , mas bien en el corporal , y mas en un bus                                                                                                                                                              "
"364","nO LO SE                                                                                                                                                                                                                                                       "
"365","Pondría más personajes como niños                                                                                                                                                                                                                           "
"366","el concepto                                                                                                                                                                                                                                                    "
"367","Las personas de atrás se rien, sin ver a la chica de frente, es decir no se porqué se ríen.                                                                                                                                                                 "
"368","nada                                                                                                                                                                                                                                                           "
"369","Nada                                                                                                                                                                                                                                                           "
"370","Que hay muchos tonos amarillos                                                                                                                                                                                                                                 "
"371","Nada                                                                                                                                                                                                                                                           "
"372","La forma pasiva en el angulo de la boca                                                                                                                                                                                                                        "
"373","Nada                                                                                                                                                                                                                                                           "
"374","Nada                                                                                                                                                                                                                                                           "
"375","nada                                                                                                                                                                                                                                                           "
"376","Nada                                                                                                                                                                                                                                                           "
"377","Nada                                                                                                                                                                                                                                                           "
"378","nada                                                                                                                                                                                                                                                           "
"379","ponerle mas color                                                                                                                                                                                                                                              "
"380","si                                                                                                                                                                                                                                                             "
"381","Nada                                                                                                                                                                                                                                                           "
"382","Más detalles en la escena de la chica del bus                                                                                                                                                                                                                 "
"383","que indagen mas en otros momentos en los que la salud oral es necesaria y mostrar un poco mas el producto que se esta ofertando                                                                                                                                "
"384","Nada                                                                                                                                                                                                                                                           "
